Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"," FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Excess of Revenue, Gains and Other Support Over Expenses (Without COVID-19 Relief Funds)", FINANCIAL METRICS (Without COVID-19 Relief Funds) Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Non-Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Margin (Without COVID-19 Relief Funds)
13120,"Coastal Medical Associates, Inc",PhysicianOrganization,12759,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$92,441,066",,"$9,549,536","$6,335,132",,,"$108,325,734",,,,,,-,"$108,325,734","$48,853,038",,"$4,069,092","$821,321",,"$59,085,851",,"$112,829,302","($4,503,568)","$3,000,000",,"($1,503,568)",,,"($1,503,568)",-4.2%,,-4.2%,-,,,0.5,,,0,"($10,838,700)",-10.6%,,-10.6%
77,Holyoke Medical Center,AcuteHospital,12767,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$12,817,813","$4,853,687",,"$21,801,739","$19,178",,"$7,518,999","$47,011,416","$1,966,192",,"$4,030,386",,"$163,599,530","$117,150,423","$46,449,107","$13,871,078","$66,316,763","$113,328,179","$2,240,904","$4,203,772",,"$29,445,487","$35,890,163","$22,756,993",,"$44,144,488","$66,901,481","$102,791,644","$5,031,963","$2,617,902","$2,886,670","$10,536,535","$113,328,179","$151,257,836",,"$34,154,458",,,"$99,900","$185,512,194","$438,376","$81,545",,"($1,247,267)",,"($727,346)","$184,784,848","$109,211,570",,"$5,002,770","$984,975","$1,564,817","$67,238,971",,"$184,003,103","$781,745","($2,477,000)","$5,100,000","$3,404,745","$17,326,606",,"$20,731,351",0.8%,-0.4%,0.4%,1.3,53,65,2.1,9.9%,9.3%,23,"$781,745",0.8%,-0.4%,0.4%
12767,"Valley Health System, Inc.",HHS,12767,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$15,911,331","$4,853,687","$45,468","$25,599,941",,,"$8,611,525","$55,021,952","$1,982,323","$42,970",,,"$186,691,797","$122,241,140","$64,450,657","$26,193,482","$92,669,432","$147,691,384","$2,254,095","$4,203,772",,"$33,279,052","$39,736,919","$40,007,352",,"$45,104,488","$85,111,840","$124,848,759","$15,313,958","$3,692,253","$3,836,414","$22,842,625","$147,691,384","$180,176,208",,"$37,247,331",,,"$99,900","$217,523,439","$485,446","$118,486",,"($691,902)",,"($87,970)","$217,435,469","$140,316,446",,"$5,807,431","$1,236,239","$1,564,817","$69,509,670",,"$218,434,603","($999,134)",,"$5,100,000","$4,100,866","$17,326,606",,"$21,427,472",-0.4%,,-0.5%,1.4,52,61,1.7,6.0%,15.5%,21,"($999,134)",-0.4%,,-0.5%
14428,Western Mass Physician Associates,PhysicianOrganization,12767,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$5,467,716",,"$1,399,131",,,,"$6,866,847",,,,,,-,"$6,866,847","$6,104,266",,"$11,711",,,"$2,353,693",,"$8,469,670","($1,602,823)","$2,460,000",,"$857,177",,,"$857,177",-23.3%,,-23.3%,-,,,0.0,,,0,"($1,602,823)",-23.3%,,-23.3%
129,Sturdy Memorial Hospital,AcuteHospital,12773,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$12,787,437",,,"$27,238,758","$2,857,058",,"$12,066,456","$54,949,709","$975,436",,,,"$195,937,361","$129,807,492","$66,129,869","$450,039,213","$517,144,518","$572,094,227",,"$15,882,263","$1,871,670","$29,579,022","$47,332,955",,,"$9,821,568","$9,821,568","$57,154,523","$514,917,113","$22,591",,"$514,939,704","$572,094,227","$211,219,190","$314,578","$12,238,413",,,"$129,521","$223,901,702","$36,387,984",,,"$28,864,925","$284,116","$65,537,025","$289,438,727","$134,261,239",,"$8,713,554",,"$744,973","$84,223,685",,"$227,943,451","$61,495,276","($4,000,000)","($9,953,709)","$47,541,567","$57,416,100",,"$104,957,667",-1.4%,22.6%,21.2%,1.2,47,52,0.0,148.3%,90.0%,15,"$61,495,276",-1.4%,22.6%,21.2%
12773,"Sturdy Memorial Foundation, Inc. and Affiliates",HHS,12773,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$15,563,375",,,"$32,894,304",,,"$15,423,207","$63,880,886","$10,184,110","$5,100",,,"$234,881,927","$141,159,055","$93,722,872","$489,333,741","$593,245,823","$657,126,709",,"$15,882,263",,"$34,703,389","$50,585,652",,,"$15,471,568","$15,471,568","$66,057,220","$580,878,508","$10,190,981",,"$591,069,489","$657,126,709","$261,793,518","$432,976","$16,246,061",,,"$129,521","$278,602,076","$38,775,642","$209,719",,"$31,557,192","$284,116","$70,826,669","$349,428,745","$186,559,236",,"$10,324,294",,"$744,973","$95,049,848",,"$292,678,351","$56,750,394",,"$30,119","$56,780,513","$57,416,100",,"$114,196,613",-4.0%,20.3%,16.2%,1.3,46,45,0.0,132.6%,89.9%,14,"$56,750,394",-4.0%,20.3%,16.2%
11397,"Sturdy Memorial Associates, Inc",PhysicianOrganization,12773,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$50,574,328","$118,398","$10,450,225",,,,"$61,142,951",,,,"($426,534)",,"($426,534)","$60,716,417","$57,993,401",,"$536,753",,,"$13,825,358",,"$72,355,512","($11,639,095)",,"$11,229,057","($410,038)",,,"($410,038)",-18.5%,-0.7%,-19.2%,-,,,0.0,,,0,"($11,639,095)",-18.5%,-0.7%,-19.2%
104,Tufts Medical Center,AcuteHospital,12775,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$19,787,000",,"$6,863,000","$116,101,000","$82,549,000","$7,650,000","$77,283,000","$310,233,000","$126,615,000",,,"$803,000","$666,759,000","$419,384,000","$247,375,000","$530,495,000","$905,288,000","$1,215,521,000","$11,185,000","$8,582,000","$20,423,000","$189,159,000","$229,349,000","$455,931,000",,"$142,298,000","$598,229,000","$827,578,000","$374,240,000","$6,599,000","$7,104,000","$387,943,000","$1,215,521,000","$852,870,000",,"$260,030,000","$7,557,000",,"$1,642,000","$1,122,099,000","$2,453,000",,,"$78,528,000",,"$80,981,000","$1,203,080,000","$485,418,000",,"$25,960,000","$20,264,000","$12,056,000","$524,048,000",,"$1,067,746,000","$135,334,000","$23,805,000","$68,000","$159,207,000","$42,078,000",,"$201,285,000",4.5%,6.7%,11.2%,1.4,50,77,5.8,23.5%,31.9%,16,"$127,777,000",3.9%,6.8%,10.7%
85,Lowell General Hospital,AcuteHospital,12775,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$21,601,000",,"$5,926,000","$46,007,000","$80,627,000","$1,877,000","$22,769,000","$178,807,000","$60,142,000",,,"$16,891,000","$519,309,000","$305,395,000","$213,914,000","$117,890,000","$408,837,000","$587,644,000","$8,726,000","$1,803,000","$4,676,000","$136,851,000","$152,056,000","$215,297,000",,"$59,887,000","$275,184,000","$427,240,000","$151,170,000","$3,976,000","$5,258,000","$160,404,000","$587,644,000","$462,457,000",,"$26,455,000","$11,462,000","$44,000","$1,071,000","$501,489,000","$1,221,000",,,"$18,006,000",,"$19,227,000","$520,716,000","$228,655,000",,"$21,898,000","$8,220,000","$5,362,000","$228,654,000",,"$492,789,000","$27,927,000","($14,170,000)","$2,225,000","$15,982,000","$20,524,000",,"$36,506,000",1.7%,3.7%,5.4%,1.2,36,116,3.4,13.6%,27.3%,14,"$16,421,000",-0.6%,3.8%,3.2%
3111,Melrose-Wakefield Healthcare,AcuteHospital,12775,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$6,411,000",,"$1,144,000","$26,823,000","$10,013,000",,"$8,000,000","$52,391,000","$88,243,000",,,"$249,000","$462,053,000","$381,574,000","$80,479,000","$221,163,000","$390,134,000","$442,525,000","$4,413,000","$6,880,000","$7,312,000","$61,493,000","$80,098,000","$154,968,000",,"$16,394,000","$171,362,000","$251,460,000","$164,533,000","$8,227,000","$18,305,000","$191,065,000","$442,525,000","$217,726,000",,"$18,791,000","$1,455,000",,"$516,000","$238,488,000","$3,388,000",,,"$27,657,000",,"$31,045,000","$269,533,000","$129,380,000",,"$12,346,000","$5,678,000","$2,713,000","$98,139,000",,"$248,256,000","$21,277,000","($15,083,000)","($1,483,000)","$4,711,000","$3,672,000",,"$8,383,000",-3.6%,11.5%,7.9%,0.7,45,113,3.9,14.3%,43.2%,31,"$19,822,000",-4.2%,11.6%,7.4%
12775,"Wellforce, Inc.",HHS,12775,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$158,703,000","$126,282,000","$13,933,000","$232,342,000",,"$9,627,000","$173,107,000","$713,994,000","$381,853,000",,,"$38,882,000","$610,649,000",,"$610,649,000","$1,098,042,000","$2,129,426,000","$2,843,420,000","$25,254,000","$18,448,000",,"$633,466,000","$677,168,000","$851,153,000",,"$348,222,000","$1,199,375,000","$1,876,543,000","$916,636,000","$19,458,000","$30,783,000","$966,877,000","$2,843,420,000","$1,879,178,000",,"$398,693,000","$17,892,000","$44,000","$3,347,000","$2,299,154,000","$10,055,000",,,"$153,540,000",,"$163,595,000","$2,462,749,000","$1,320,927,000",,"$66,546,000","$35,247,000","$20,131,000","$854,671,000",,"$2,297,522,000","$165,227,000",,"$810,000","$166,037,000","$68,529,000",,"$234,566,000",0.1%,6.6%,6.7%,1.1,45,108,4.4,15.2%,34.0%,0,"$147,291,000",-0.7%,6.7%,6.0%
10991,Tufts Medical Center Physician Organization,PhysicianOrganization,12775,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$171,424,000",,"$147,764,000",,,,"$319,188,000","($11,000)",,,,,"($11,000)","$319,177,000","$277,531,000",,"$552,000",,,"$38,988,000",,"$317,071,000","$2,106,000","($6,186,000)","$2,261,000","($1,819,000)",,,"($1,819,000)",0.7%,,0.7%,-,,,0.0,,,0,"$2,106,000",0.7%,,0.7%
14420,Circle Health Physicians Inc,PhysicianOrganization,12775,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$62,038,000",,"$10,315,000","($4,257,000)",,,"$68,096,000","$4,000",,,"($113,000)",,"($109,000)","$67,987,000","$48,871,000",,"$439,000","$1,000",,"$32,124,000",,"$81,435,000","($13,448,000)","$682,000",,"($12,766,000)",,,"($12,766,000)",-19.6%,-0.2%,-19.8%,-,,,"(13,008.0)",,,0,"($9,191,000)",-12.6%,-0.2%,-12.7%
7895,Hallmark Health Medical Associates,PhysicianOrganization,12775,2021,Sep 30,5,12,"10/01/2020-09/30/2021
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$39,513,000",,"$13,568,000","($757,000)",,,"$52,324,000",,,,,,-,"$52,324,000","$51,180,000",,"$558,000","$4,000",,"$16,644,000",,"$68,386,000","($16,062,000)","$12,362,000",,"($3,700,000)",,,"($3,700,000)",-30.7%,,-30.7%,-,,,"(3,875.0)",,,0,"($15,305,000)",-28.8%,,-28.8%
57,Emerson Hospital,AcuteHospital,12776,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$48,560,897",,,"$36,375,155","$1,512,699",,"$33,856,683","$120,305,434","$296,599",,,"$7,095,210","$377,443,726","$254,842,115","$122,601,611","$15,666,031","$145,659,451","$265,964,885","$7,725,121","$9,889,647",,"$52,106,880","$69,721,648","$71,558,745",,"$36,482,282","$108,041,027","$177,762,675","$88,202,210",,,"$88,202,210","$265,964,885","$300,936,943",,"$12,615,444","$17,587",,"$2,515,141","$316,085,115","$573,507",,,"$31,197,844",,"$31,771,351","$347,856,466","$166,455,736",,"$10,633,283","$2,650,772","$5,690,263","$129,394,704",,"$314,824,758","$33,031,708","$2,176,406","$170,527","$35,378,641","$7,021,392",,"$42,400,033",0.4%,9.1%,9.5%,1.7,44,72,4.5,30.9%,33.2%,24,"$33,014,121",0.4%,9.1%,9.5%
12776,"Emerson Health System, Inc. and Subsidiaries",HHS,12776,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$50,822,318",,,"$36,375,085",,,"$12,804,935","$100,002,338","$4,694,912",,,,"$377,443,726","$254,842,115","$122,601,611","$38,431,638","$165,728,161","$265,730,499","$7,725,121","$9,889,647",,"$54,043,623","$71,658,391","$71,558,745",,"$36,482,282","$108,041,027","$179,699,418","$81,173,874","$4,857,207",,"$86,031,081","$265,730,499","$300,942,603",,"$14,361,875","$17,587",,"$2,515,141","$317,837,206","$573,507",,,"$31,197,844",,"$31,771,351","$349,608,557","$167,203,001",,"$10,633,283","$2,650,772","$5,690,263","$129,640,220",,"$315,817,539","$33,791,018",,"$80,320","$33,871,338","$7,021,392",,"$40,892,730",0.6%,9.1%,9.7%,1.4,44,74,4.5,31.0%,32.4%,24,"$33,773,431",0.6%,9.1%,9.7%
68,Harrington Memorial Hospital,AcuteHospital,12805,2021,Sep 30,5,12,"10/01/2020-09/30/2021
","$7,736,005",,"$58,211,879","$16,841,158","$501,608",,"$4,195,774","$87,486,424","$10,133,509","$71,184",,,"$158,565,691","$108,851,153","$49,714,538","$2,373,675","$62,292,906","$149,779,330","$1,390,261","$722,760","$321,059","$37,601,958","$40,036,038","$26,306,824",,"$2,861,925","$29,168,749","$69,204,787","$71,307,839","$1,453,003","$7,813,701","$80,574,543","$149,779,330","$140,346,538",,"$13,590,035",,,"$196,821","$154,133,394","$973,288","$72,586",,"$2,836,364",,"$3,882,238","$158,015,632","$81,647,147",,"$5,925,075","$1,069,454","$1,385,611","$53,375,238",,"$143,402,525","$14,613,107","($9,243,312)","$452,045","$5,821,840",,,"$5,821,840",6.8%,2.5%,9.2%,2.2,44,104,8.8,31.0%,53.8%,18,"$14,613,107",6.8%,2.5%,9.2%
