Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"," FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Excess of Revenue, Gains and Other Support Over Expenses (Without COVID-19 Relief Funds)", FINANCIAL METRICS (Without COVID-19 Relief Funds) Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Non-Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Margin (Without COVID-19 Relief Funds)
14425,Mercy Specialist Physicians,PhysicianOrganization,14288,2020,30-Jun,5,12,"07/01/2019-06/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$2,118,444 ","$4,298 ","$235,028 ","$118,127 ",,,"$2,475,897 ",,,,,,-,"$2,475,897 ","$3,163,033 ",,"$13,508 ",,,"$1,407,915 ",,"$4,584,456 ","($2,108,559)",,,"($2,108,559)",,,"($2,108,559)",-85.20%,,-85.20%,-,,,0,,,0,"($2,226,686)",-94.40%,,-94.40%
12151,"Mercy Inpatient Medical Associates, Inc",PhysicianOrganization,14288,2020,30-Jun,5,12,"07/01/2019-06/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$12,296,086 ","$37,600 ","$11,281,180 ","$204,504 ",,,"$23,819,370 ",,,,,,-,"$23,819,370 ","$22,976,384 ",,"$60,481 ",,,"$2,893,300 ",,"$25,930,165 ","($2,110,795)",,,"($2,110,795)",,,"($2,110,795)",-8.90%,,-8.90%,-,,,0,,,0,"($2,315,299)",-9.80%,,-9.80%
16532,"Pioneer Valley Cardiology Associates, Inc",PhysicianOrganization,14288,2020,30-Jun,5,12,"07/01/2019-06/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$7,999,299 ",,($250),"$216,563 ",,,"$8,215,612 ",,,,,,-,"$8,215,612 ","$820,829 ",,"$10,045 ",,,"$12,814,556 ",,"$13,645,430 ","($5,429,818)",,,"($5,429,818)",,,"($5,429,818)",-66.10%,,-66.10%,-,,,0,,,0,"($5,646,381)",-70.60%,,-70.60%
16533,"Riverbend Medical Group, Inc",PhysicianOrganization,14288,2020,30-Jun,5,12,"07/01/2019-06/30/2020
",,,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$58,645,995 ","$3,171,973 ","$2,177,266 ","$1,487,488 ",,,"$65,482,722 ",,,,,,-,"$65,482,722 ","$64,070,874 ",,"$1,262,479 ","$6,451 ",,"$19,501,263 ",,"$84,841,067 ","($19,358,345)",,,"($19,358,345)",,,"($19,358,345)",-29.60%,,-29.60%,-,,,"-2,804.10",,,0,"($20,845,833)",-32.60%,,-32.60%
8702,Beth Israel Deaconess Medical Center,AcuteHospital,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$354,656,000 ","$509,034,000 ",,"$179,173,000 ",,,,"$95,274,000 ","$1,138,137,000 ","$598,119,000 ",,,,"$693,612,000 ",,"$693,612,000 ","$73,032,000 ","$1,364,763,000 ","$2,502,900,000 ","$26,330,000 ","$231,332,000 ",,"$266,545,000 ","$524,207,000 ","$588,295,000 ",,"$327,807,000 ","$916,102,000 ","$1,440,309,000 ","$724,780,000 ","$263,213,000 ","$74,598,000 ","$1,062,591,000 ","$2,502,900,000 ","$1,351,503,000 ",,"$609,591,000 ","$117,378,000 ",,,"$2,078,472,000 ",,,,"$3,378,000 ","($4,955,000)","($1,577,000)","$2,076,895,000 ","$904,222,000 ",,"$87,533,000 ","$5,472,000 ","$20,987,000 ","$960,304,000 ",,"$1,978,518,000 ","$98,377,000 ","($33,287,000)","$739,000 ","$65,829,000 ","($82,697,000)",,"($16,868,000)",4.80%,-0.10%,4.70%,2.2,48,57,6,16.70%,42.50%,0,"($19,001,000)",-0.90%,-0.10%,-1.00%
98,Beth Israel Deaconess Hospital - Milton,AcuteHospital,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$36,592,000 ","$27,992,000 ",,"$11,106,000 ",,,,"$6,065,000 ","$81,755,000 ","$7,951,000 ",,,,"$98,334,000 ",,"$98,334,000 ","$3,702,000 ","$109,987,000 ","$191,742,000 ","$2,511,000 ","$28,059,000 ","$2,246,000 ","$18,591,000 ","$51,407,000 ","$25,666,000 ",,"$14,921,000 ","$40,587,000 ","$91,994,000 ","$91,797,000 ","$5,059,000 ","$2,892,000 ","$99,748,000 ","$191,742,000 ","$115,434,000 ",,"($1,025,400)","$17,024,400 ",,,"$131,433,000 ",,,,"($656,000)","($249,000)","($905,000)","$130,528,000 ","$59,238,000 ",,"$8,138,000 ","$973,000 ","$718,000 ","$53,577,000 ",,"$122,644,000 ","$7,884,000 ","($2,234,000)",,"$5,650,000 ","$1,908,000 ",,"$7,558,000 ",6.70%,-0.70%,6.00%,1.6,35,74,4.9,20.80%,52.00%,0,"($9,140,400)",-7.30%,-0.80%,-8.10%
53,Beth Israel Deaconess Hospital - Needham,AcuteHospital,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$25,186,000 ","$6,709,000 ",,"$11,655,000 ",,,,"$3,209,000 ","$46,759,000 ","$6,617,000 ",,,,"$109,269,000 ",,"$109,269,000 ","$4,307,000 ","$120,193,000 ","$166,952,000 ","$2,092,000 ","$14,303,000 ","$1,961,000 ","$13,151,000 ","$31,507,000 ","$57,425,000 ",,"$20,984,000 ","$78,409,000 ","$109,916,000 ","$50,419,000 ","$5,001,000 ","$1,616,000 ","$57,036,000 ","$166,952,000 ","$91,920,000 ",,"$3,862,000 ","$10,050,000 ",,,"$105,832,000 ",,,,"$188,000 ","($66,000)","$122,000 ","$105,954,000 ","$51,463,000 ",,"$8,158,000 ","$2,020,000 ","$606,000 ","$44,083,000 ",,"$106,330,000 ","($376,000)",,"$1,566,000 ","$1,190,000 ",,,"$1,190,000 ",-0.50%,0.10%,-0.40%,1.5,46,64,2.4,8.80%,34.20%,0,"($10,426,000)",-11.00%,0.10%,-10.90%
79,Beth Israel Deaconess Hospital - Plymouth,AcuteHospital,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$87,380,000 ","$27,092,000 ",,"$27,708,000 ",,,,"$6,354,000 ","$148,534,000 ","$12,645,000 ",,,,"$123,222,000 ",,"$123,222,000 ","$7,149,000 ","$143,016,000 ","$291,550,000 ","$3,437,000 ","$65,451,000 ","$652,000 ","$34,206,000 ","$103,746,000 ","$51,388,000 ",,"$18,496,000 ","$69,884,000 ","$173,630,000 ","$105,275,000 ","$1,885,000 ","$10,760,000 ","$117,920,000 ","$291,550,000 ","$282,750,000 ",,"$7,777,000 ","$20,178,000 ",,,"$310,705,000 ",,,,"$268,000 ","($219,000)","$49,000 ","$310,754,000 ","$148,971,000 ",,"$10,211,000 ","$1,982,000 ","$1,248,000 ","$128,806,000 ",,"$291,218,000 ","$19,536,000 ","($8,513,000)","$115,000 ","$11,138,000 ","($820,000)",,"$10,318,000 ",6.30%,,6.30%,1.4,36,50,5.9,19.20%,40.40%,0,"($642,000)",-0.20%,,-0.20%
100,Mount Auburn Hospital,AcuteHospital,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$71,457,000 ","$87,249,000 ",,"$25,534,000 ",,,,"$11,717,000 ","$195,957,000 ","$20,156,000 ",,,,"$202,130,000 ",,"$202,130,000 ","$56,399,000 ","$278,685,000 ","$474,642,000 ","$8,550,000 ","$48,774,000 ","($935,000)","$41,813,000 ","$98,202,000 ","$108,284,000 ",,"$24,183,000 ","$132,467,000 ","$230,669,000 ","$223,817,000 ","$15,230,000 ","$4,926,000 ","$243,973,000 ","$474,642,000 ","$286,220,000 ",,"$20,814,000 ","$20,773,000 ",,,"$327,807,000 ",,,,"$3,139,000 ","($1,067,000)","$2,072,000 ","$329,879,000 ","$170,586,000 ",,"$25,800,000 ","$4,160,000 ","$4,652,000 ","$114,108,000 ",,"$319,306,000 ","$10,573,000 ","($26,816,000)","$179,000 ","($16,064,000)","($25,000)",,"($16,089,000)",2.60%,0.60%,3.20%,2,33,61,3.2,17.60%,51.40%,0,"($10,200,000)",-4.00%,0.70%,-3.30%
103,New England Baptist Hospital,AcuteHospital,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$42,757,000 ","$90,958,000 ",,"$21,158,000 ",,,,"$6,380,000 ","$161,253,000 ","$29,916,000 ",,,,"$68,734,000 ",,"$68,734,000 ","$10,451,000 ","$109,101,000 ","$270,354,000 ","$1,790,000 ","$38,175,000 ","$62,000 ","$22,787,000 ","$62,814,000 ","$48,985,000 ",,"$12,389,000 ","$61,374,000 ","$124,188,000 ","$116,250,000 ","$10,151,000 ","$19,765,000 ","$146,166,000 ","$270,354,000 ","$189,036,000 ",,"$17,479,000 ","$5,108,000 ",,,"$211,623,000 ",,,,"$1,237,000 ","($140,000)","$1,097,000 ","$212,720,000 ","$96,044,000 ",,"$11,073,000 ","$1,543,000 ","$3,080,000 ","$108,037,000 ",,"$219,777,000 ","($7,057,000)","($4,083,000)","$139,000 ","($11,001,000)","$4,641,000 ",,"($6,360,000)",-3.80%,0.50%,-3.30%,2.6,41,43,1.7,3.60%,54.10%,0,"($12,165,000)",-6.40%,0.50%,-5.90%
6546,Lahey Hospital & Medical Center,AcuteHospital,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$201,681,000 ","$73,294,000 ",,"$94,402,000 ",,,,"$57,075,000 ","$426,452,000 ",,,,,,,-,"$12,882,000 ","$12,882,000 ","$439,334,000 ","$40,000,000 ","$203,587,000 ","$34,158,000 ","$64,922,000 ","$342,667,000 ",,,"$7,396,000 ","$7,396,000 ","$350,063,000 ","$89,271,000 ",,,"$89,271,000 ","$439,334,000 ","$935,057,000 ",,"$53,401,000 ","$50,591,000 ",,,"$1,039,049,000 ",,,,"$3,467,000 ",,"$3,467,000 ","$1,042,516,000 ","$396,525,000 ",,"$61,477,000 ","$9,693,000 ","$5,445,000 ","$493,164,000 ",,"$966,304,000 ","$76,212,000 ","($114,282,000)",,"($38,070,000)",,,"($38,070,000)",7.00%,0.30%,7.30%,1.2,37,56,3,40.20%,20.30%,0,"$25,621,000 ",2.20%,0.30%,2.60%
3112,Northeast Hospital,AcuteHospital,16665,2020,30-Sep,5,12,"10/01/2019-09/30/2020
","$125,540,000 ","$218,791,000 ",,"$29,247,000 ",,,,"$23,986,000 ","$397,564,000 ","$23,643,000 ",,,,"$115,084,000 ",,"$115,084,000 ","$13,764,000 ","$152,491,000 ","$550,055,000 ","$4,361,000 ","$69,849,000 ","$7,753,000 ","$48,311,000 ","$130,274,000 ","$85,348,000 ",,"$82,817,000 ","$168,165,000 ","$298,439,000 ","$227,973,000 ","$12,002,500 ","$11,640,500 ","$251,616,000 ","$550,055,000 ","$358,425,000 ",,"$16,503,000 ","$35,054,000 ",,,"$409,982,000 ",,,,"$7,113,000 ",,"$7,113,000 ","$417,095,000 ","$187,248,000 ",,"$17,748,000 ","$2,180,000 ","$1,929,000 ","$154,443,000 ",,"$363,548,000 ","$53,547,000 ","($20,409,000)","$659,000 ","$33,797,000 ","($2,401,000)",,"$31,396,000 ",11.10%,1.70%,12.80%,3.1,30,64,11.2,33.10%,45.70%,0,"$18,493,000 ",3.00%,1.90%,4.80%
