Org ID,Organization Name,Organization Type,HHS Org ID,Submission Period Year,"Year Ending 
Date",Org Quarter,Number Of Months,Quarter Range,Cash and Cash Equivalents,Short Term Investments,Current Assets Whose Use is Limited,Net Patient Accounts Receivable,Receivables Due From Affiliates,Third Party Settlements,Other Current Assets,Total Current Assets,Non Current Assets Whose Use is Limited,Contribution Receivables,Interest in Net Assets,Investment in Affiliates,Gross Property Plant and Equipment,Less Accumulated Depreciation,Net Property Plant and Equipment,Other Non Current Assets,Total Non Current Assets,Total Assets,Current Long Term Debt,Estimated Third Party Settlements,Current Liabilities Due to Affiliates,Other Current Liabilities,Total Current Liabilities,Long Term Debt Net of Current Portion,Non Current Liabilities Due to Affiliates,Other Non Current Liabilities,Total Non Current Liabilities,Total Liabilities,Net Unrestricted Assets,Net Temporarily Restricted Assets,Net Permanently Restricted Assets,Total Net Assets or Equity,Total Liabilities And Net Assets or Equity,Net Patient Service Revenue,Alternative Payment Methods,Other Operating Revenue,  Other Operating Revenue: Federal COVID-19 Relief Funds,     Other Operating Revenue: State & Other COVID-19 Relief Funds,Net Assets Released From Restrictions Used for Operations,Total Operating Revenue,Investment Income,Net Contribution Revenue,Change in Interest in Net Assets,Non Operating Gains Losses,Equity Method of Alternative Investment,Total Non Operating Revenue,Total Unrestricted Revenue Gains and Other Support,Salary and Benefit Expense,Outside Medical and Pharmacy Services,Depreciation and Amortization Expense,Interest Expense,Health Safety Net Assessment,Other Operating Expenses,Net Nonrecurring Gains and Losses,Total Expenses Including Nonrecurring Gains Losses,Total Excess of Revenue Gains and Other Support Over Expenses,Transfers from to Parent and Affiliates,Other Changes in Unrestricted Net Assets,Sub Total Increase / Decrease in Unrestricted Net Assets,Changes in Unrestricted Assets Related to Pension Activities,Changes in Accounting Principles,Total Increase or Decrease in Unrestricted Net Assets,"FINANCIAL METRICS (With COVID-19 Relief Funds)
Operating Margin ","FINANCIAL METRICS (With COVID-19 Relief Funds) 
Non Operating Margin "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Total Margin"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Current Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Days in Accounts Receivable"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Payment Period"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Debt Service Coverage Ratio"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Cash Flow to Total Debt"," FINANCIAL METRICS (With COVID-19 Relief Funds)
Equity Financing Ratio "," FINANCIAL METRICS (With COVID-19 Relief Funds)
Average Age of Plant"," FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Excess of Revenue, Gains and Other Support Over Expenses (Without COVID-19 Relief Funds)", FINANCIAL METRICS (Without COVID-19 Relief Funds) Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Non-Operating Margin (Without COVID-19 Relief Funds), FINANCIAL METRICS (Without COVID-19 Relief Funds) Total Margin (Without COVID-19 Relief Funds)
4066,"Baystate Health, Inc.",HHS,4066,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","$218,525,000 ","$353,235,000 ",,"$185,810,000 ",,"$23,578,000 ","$122,940,000 ","$904,088,000 ","$560,483,000 ",,,"$12,728,000 ","$2,187,025,000 ","$1,366,834,000 ","$820,191,000 ","$133,688,000 ","$1,527,090,000 ","$2,431,178,000 ","$19,059,000 ","$24,002,000 ",,"$508,313,000 ","$551,374,000 ","$580,441,000 ",,"$288,277,000 ","$868,718,000 ","$1,420,092,000 ","$889,389,000 ","$61,260,000 ","$60,437,000 ","$1,011,086,000 ","$2,431,178,000 ","$1,694,765,000 ",,"$1,117,328,000 ","$46,146,000 ",,"$8,129,000 ","$2,866,368,000 ","$9,515,000 ",,,"($159,263,000)",,"($149,748,000)","$2,716,620,000 ","$1,334,049,000 ",,"$78,470,000 ","$9,055,000 ","$15,821,000 ","$1,606,625,000 ",,"$3,044,020,000 ","($327,400,000)","$1,844,000 ",,"($325,556,000)","($62,296,000)",,"($387,852,000)",-6.50%,-5.50%,-12.10%,1.6,40,65,-8.5,-22.00%,41.60%,17,"($373,546,000)",-8.40%,-5.60%,-14.00%
5,Baystate Franklin Medical Center,AcuteHospital,4066,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","$2,088,000 ","$358,000 ",,"$11,381,000 ",,"$589,000 ","$3,867,000 ","$18,283,000 ","$5,166,000 ",,,"$334,000 ","$161,219,000 ","$115,416,000 ","$45,803,000 ","$10,515,000 ","$61,818,000 ","$80,101,000 ","$1,314,000 ","$1,956,000 ",,"$15,313,000 ","$18,583,000 ","$18,697,000 ",,"$2,946,000 ","$21,643,000 ","$40,226,000 ","$24,710,000 ","$6,975,000 ","$8,190,000 ","$39,875,000 ","$80,101,000 ","$99,156,000 ",,"$8,315,000 ","$5,409,000 ",,"$364,000 ","$113,244,000 ","($2,000)",,,"($375,000)",,"($377,000)","$112,867,000 ","$50,135,000 ",,"$4,935,000 ","$710,000 ","$1,086,000 ","$64,948,000 ",,"$121,814,000 ","($8,947,000)","$5,000,000 ","$47,000 ","($3,900,000)","($4,614,000)",,"($8,514,000)",-7.60%,-0.30%,-7.90%,1,42,52,-1.6,-10.80%,49.80%,23,"($14,356,000)",-13.00%,-0.40%,-13.40%
4,Baystate Medical Center,AcuteHospital,4066,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","$62,629,000 ","$172,333,000 ",,"$156,916,000 ",,"$22,390,000 ","$113,238,000 ","$527,506,000 ","$289,880,000 ",,,"$10,205,000 ","$1,768,668,000 ","$1,079,704,000 ","$688,964,000 ","$32,234,000 ","$1,021,283,000 ","$1,548,789,000 ","$15,844,000 ","$15,590,000 ",,"$170,457,000 ","$201,891,000 ","$507,725,000 ",,"$46,362,000 ","$554,087,000 ","$755,978,000 ","$777,494,000 ","$10,099,000 ","$5,218,000 ","$792,811,000 ","$1,548,789,000 ","$1,472,540,000 ",,"$103,612,000 ","$32,586,000 ",,"$1,809,000 ","$1,610,547,000 ","$9,123,000 ",,,"($93,328,000)",,"($84,205,000)","$1,526,342,000 ","$710,599,000 ",,"$59,874,000 ","$7,115,000 ","$13,163,000 ","$900,908,000 ",,"$1,691,659,000 ","($165,317,000)","($72,902,000)","$1,675,000 ","($236,544,000)","($37,593,000)",,"($274,137,000)",-5.30%,-5.50%,-10.80%,2.6,39,42,-4.3,-14.90%,51.20%,18,"($197,903,000)",-7.60%,-5.60%,-13.20%
106,Baystate Noble Hospital,AcuteHospital,4066,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","$761,000 ",,,"$8,168,000 ",,"$141,000 ","$1,212,000 ","$10,282,000 ","$1,307,000 ",,,,"$96,607,000 ","$70,083,000 ","$26,524,000 ","$1,535,000 ","$29,366,000 ","$39,648,000 ","$185,000 ","$3,928,000 ",,"$11,643,000 ","$15,756,000 ","$73,000 ",,"$3,063,000 ","$3,136,000 ","$18,892,000 ","$18,337,000 ","$675,000 ","$1,744,000 ","$20,756,000 ","$39,648,000 ","$70,951,000 ",,"$3,708,000 ","$1,207,000 ",,"$115,000 ","$75,981,000 ",,,,"($112,000)",,"($112,000)","$75,869,000 ","$36,433,000 ",,"$4,562,000 ","$97,000 ","$602,000 ","$41,052,000 ",,"$82,746,000 ","($6,877,000)",,"$81,000 ","($6,796,000)",,,"($6,796,000)",-8.90%,-0.10%,-9.10%,0.7,42,55,-7.9,-14.60%,52.40%,15,"($8,084,000)",-10.70%,-0.20%,-10.80%
14495,Baystate Wing Hospital,AcuteHospital,4066,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","$1,350,000 ","$12,469,000 ",,"$11,132,000 ",,"$458,000 ","$1,715,000 ","$27,124,000 ","$7,698,000 ",,,,"$107,910,000 ","$62,582,000 ","$45,328,000 ","$2,491,000 ","$55,517,000 ","$82,641,000 ","$976,000 ","$2,425,000 ",,"$29,529,000 ","$32,930,000 ","$22,658,000 ",,"$1,343,000 ","$24,001,000 ","$56,931,000 ","$16,184,000 ","$2,703,000 ","$6,823,000 ","$25,710,000 ","$82,641,000 ","$92,722,000 ",,"$3,273,000 ","$1,735,000 ",,"$40,000 ","$97,770,000 ","$127,000 ",,,"($1,775,000)",,"($1,648,000)","$96,122,000 ","$45,082,000 ",,"$4,666,000 ","$763,000 ","$970,000 ","$56,640,000 ",,"$108,121,000 ","($11,999,000)",,"$28,000 ","($11,971,000)","($931,000)",,"($12,902,000)",-10.80%,-1.70%,-12.50%,0.8,44,108,-3.8,-13.20%,31.10%,13,"($13,734,000)",-12.80%,-1.70%,-14.60%
11490,Baystate Medical Practice,PhysicianOrganization,4066,2022,30-Sep,5,12,"10/01/2021-09/30/2022
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$192,792,000 ",,"$210,730,000 ","$4,913,000 ",,"$1,271,000 ","$409,706,000 ",,,,"($607,000)",,"($607,000)","$409,099,000 ","$354,029,000 ",,"$1,670,000 ","($99,000)",,"$134,186,000 ",,"$489,786,000 ","($80,687,000)","$65,902,000 ","$13,000 ","($14,772,000)","($12,558,000)",,"($27,330,000)",-19.60%,-0.10%,-19.70%,-,,,799.2,,,0,"($85,600,000)",-21.00%,-0.20%,-21.20%
3106,"Berkshire Health Systems, Inc.",HHS,3106,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","$137,565,361 ",,,"$64,702,921 ",,"$34,184,755 ",,"$236,453,037 ","$343,625,043 ",,,,"$753,502,545 ","$560,151,921 ","$193,350,624 ","$20,518,132 ","$557,493,799 ","$793,946,836 ","$4,010,000 ","$39,542,937 ",,"$85,675,980 ","$129,228,917 ","$52,060,483 ",,"$42,310,047 ","$94,370,530 ","$223,599,447 ","$528,439,948 ","$33,765,997 ","$8,141,444 ","$570,347,389 ","$793,946,836 ","$649,927,554 ",,"$101,182,113 ","$18,829,447 ","$6,979,734 ","$271,584 ","$777,190,432 ","$18,808,706 ",,,"($67,865,175)",,"($49,056,469)","$728,133,963 ","$431,549,833 ",,"$37,802,312 ","$510,397 ","$4,876,289 ","$282,138,639 ",,"$756,877,470 ","($28,743,507)",,"$457,098 ","($28,286,409)",,,"($28,286,409)",2.80%,-6.70%,-3.90%,1.8,36,46,2.1,5.00%,71.80%,15,"($54,552,688)",-0.80%,-7.00%,-7.80%
6309,Berkshire Medical Center,AcuteHospital,3106,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","$103,671,831 ",,,"$51,325,537 ",,,"$29,191,866 ","$184,189,234 ","$297,739,299 ",,,,"$704,695,700 ","$524,139,003 ","$180,556,697 ","$25,741,478 ","$504,037,474 ","$688,226,708 ","$3,817,520 ","$25,429,304 ","$31,029,877 ","$67,962,801 ","$128,239,502 ","$49,561,200 ",,"$11,574,493 ","$61,135,693 ","$189,375,195 ","$462,881,749 ","$28,086,562 ","$7,883,202 ","$498,851,513 ","$688,226,708 ","$513,269,477 ",,"$112,867,324 ","$1,515,243 ",,"$217,699 ","$627,869,743 ","$10,965,203 ",,,"($61,401,357)",,"($50,436,154)","$577,433,589 ","$283,357,463 ",,"$35,106,482 ","$485,281 ","$4,297,461 ","$267,119,827 ",,"$590,366,514 ","($12,932,925)","($25,439,663)","$202,189 ","($38,170,399)",,,"($38,170,399)",6.50%,-8.70%,-2.20%,1.4,36,68,5.3,12.50%,72.50%,15,"($14,448,168)",6.20%,-8.80%,-2.50%
8,Fairview Hospital,AcuteHospital,3106,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","$5,879,017 ",,,"$8,569,302 ","$29,130,027 ",,"$1,394,935 ","$44,973,281 ","$33,545,890 ",,,,"$47,048,094 ","$34,686,701 ","$12,361,393 ","$558,420 ","$46,465,703 ","$91,438,984 ","$192,480 ","$14,258,166 ",,"$5,893,671 ","$20,344,317 ","$2,499,283 ",,"$1,925,537 ","$4,424,820 ","$24,769,137 ","$60,732,170 ","$5,679,435 ","$258,242 ","$66,669,847 ","$91,438,984 ","$76,486,070 ",,"$5,885,966 ","$71,892 ",,"$53,885 ","$82,497,813 ","$7,890,631 ",,,"($5,057,042)",,"$2,833,589 ","$85,331,402 ","$42,860,579 ",,"$2,495,410 ","$25,116 ","$578,828 ","$28,126,654 ",,"$74,086,587 ","$11,244,815 ","($277,843)","$254,909 ","$11,221,881 ",,,"$11,221,881 ",9.90%,3.30%,13.20%,2.2,41,31,63.3,60.10%,72.90%,14,"$11,172,923 ",9.80%,3.30%,13.10%
11794,Berkshire Faculty Services,PhysicianOrganization,3106,2022,30-Sep,5,12,"10/01/2021-09/30/2022
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$45,754,396 ",,"$6,956,358 ",,,,"$52,710,754 ",,,,,,-,"$52,710,754 ","$56,464,467 ",,,,,"$17,284,995 ",,"$73,749,462 ","($21,038,708)","$21,038,708 ",,,,,-,-39.90%,,-39.90%,-,,,0,,,0,"($21,038,708)",-39.90%,,-39.90%
12118,Berkshire Orthopaedic Associates,PhysicianOrganization,3106,2022,30-Sep,5,12,"10/01/2021-09/30/2022
",,,,,,,,-,,,,,,,-,,-,-,,,,,-,,,,-,-,,,,-,-,"$10,210,311 ",,"$608,873 ",,,,"$10,819,184 ",,,,,,-,"$10,819,184 ","$11,044,419 ",,,,,"$2,537,462 ",,"$13,581,881 ","($2,762,697)","$3,112,985 ",,"$350,288 ",,,"$350,288 ",-25.50%,,-25.50%,-,,,0,,,0,"($2,762,697)",-25.50%,,-25.50%
16665,Beth Israel Lahey Health,HHS,16665,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","$235,519,000 ","$2,084,569,000 ",,"$572,086,000 ","$19,406,000 ",,"$291,021,000 ","$3,202,601,000 ","$793,075,000 ",,,,"$7,122,436,000 ","$4,612,417,000 ","$2,510,019,000 ","$925,331,000 ","$4,228,425,000 ","$7,431,026,000 ","$43,375,000 ","$148,248,000 ","$9,754,000 ","$1,015,414,000 ","$1,216,791,000 ","$1,645,380,000 ",,"$1,074,443,000 ","$2,719,823,000 ","$3,936,614,000 ","$2,699,013,000 ","$795,399,000 ",,"$3,494,412,000 ","$7,431,026,000 ","$5,797,628,000 ",,"$1,236,879,000 ","$28,305,000 ","$5,020,000 ",,"$7,067,832,000 ",,,,"($242,510,000)",,"($242,510,000)","$6,825,322,000 ","$4,342,116,000 ",,"$268,126,000 ","$39,479,000 ","$55,880,000 ","$2,561,758,000 ",,"$7,267,359,000 ","($442,037,000)",,"$10,842,000 ","($431,195,000)","$189,550,000 ",,"($241,645,000)",-2.90%,-3.60%,-6.50%,2.6,36,56,-1.6,-6.10%,47.00%,17,"($475,362,000)",-3.40%,-3.60%,-7.00%
1,Anna Jaques Hospital,AcuteHospital,16665,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","($380,000)","$19,038,000 ",,"$14,584,000 ",,,"$16,197,000 ","$49,439,000 ","$12,507,000 ",,,,"$61,521,000 ","$19,595,000 ","$41,926,000 ","$11,082,000 ","$65,515,000 ","$114,954,000 ","$1,300,000 ","$1,897,000 ","$18,821,000 ","$15,621,000 ","$37,639,000 ","$16,659,000 ",,"$20,762,000 ","$37,421,000 ","$75,060,000 ","$26,955,000 ",,"$12,507,000 ","$39,462,000 ","$114,522,000 ","$130,084,000 ",,"$7,432,300 ","$1,195,000 ","$5,700 ",,"$138,717,000 ",,,,"($2,425,000)",,"($2,425,000)","$136,292,000 ","$76,382,000 ",,"$5,070,000 ","$524,000 ","$1,481,000 ","$66,729,000 ",,"$150,186,000 ","($13,894,000)","$3,930,000 ","$2,067,000 ","($7,897,000)","$8,351,000 ",,"$454,000 ",-8.40%,-1.80%,-10.20%,1.3,41,90,-4.6,-16.30%,34.30%,4,"($15,094,700)",-9.40%,-1.80%,-11.20%
98,Beth Israel Deaconess Hospital - Milton,AcuteHospital,16665,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","$4,572,000 ","$32,780,000 ",,"$12,827,000 ",,,"$5,179,000 ","$55,358,000 ","$9,275,000 ",,,,"$168,193,000 ","$69,576,000 ","$98,617,000 ","$8,730,000 ","$116,622,000 ","$171,980,000 ","$2,767,000 ","$2,401,000 ","$2,833,000 ","$26,624,000 ","$34,625,000 ","$19,466,000 ",,"$9,214,000 ","$28,680,000 ","$63,305,000 ","$99,400,000 ",,"$9,275,000 ","$108,675,000 ","$171,980,000 ","$134,817,000 ",,"$4,514,000 ","$567,000 ","$88,000 ",,"$139,986,000 ",,,,"($3,820,000)",,"($3,820,000)","$136,166,000 ","$75,419,000 ",,"$9,100,000 ","$870,000 ","$1,465,000 ","$63,360,000 ",,"$150,214,000 ","($14,048,000)","$551,000 ",,"($13,497,000)","($1,488,000)",,"($14,985,000)",-7.50%,-2.80%,-10.30%,1.6,35,83,-1.1,-9.10%,63.20%,8,"($14,703,000)",-8.00%,-2.80%,-10.90%
53,Beth Israel Deaconess Hospital - Needham,AcuteHospital,16665,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","($3,342,000)","$7,656,000 ",,"$14,197,000 ",,,"$20,738,000 ","$39,249,000 ","$12,118,000 ",,,,"$193,987,000 ","$85,140,000 ","$108,847,000 ","$6,174,000 ","$127,139,000 ","$166,388,000 ","$2,310,000 ","$524,000 ","$6,494,000 ","$13,375,000 ","$22,703,000 ","$51,757,000 ",,"$21,460,000 ","$73,217,000 ","$95,920,000 ","$58,350,000 ",,"$12,118,000 ","$70,468,000 ","$166,388,000 ","$131,851,000 ",,"$4,136,000 ","$448,000 ","$107,000 ",,"$136,542,000 ",,,,"($538,000)",,"($538,000)","$136,004,000 ","$70,021,000 ",,"$8,550,000 ","$2,001,000 ","$1,396,000 ","$51,967,000 ",,"$133,935,000 ","$2,069,000 ","$2,772,000 ",,"$4,841,000 ",,,"$4,841,000 ",1.90%,-0.40%,1.50%,1.7,39,65,2.9,14.30%,42.40%,10,"$1,514,000 ",1.50%,-0.40%,1.10%
79,Beth Israel Deaconess Hospital - Plymouth,AcuteHospital,16665,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","($2,356,000)","$23,043,000 ",,"$36,488,000 ",,,"$5,323,000 ","$62,498,000 ","$12,650,000 ",,,,"$201,034,000 ","$79,881,000 ","$121,153,000 ","$11,913,000 ","$145,716,000 ","$208,214,000 ","$3,788,000 ","$3,218,000 ","$12,107,000 ","$29,902,000 ","$49,015,000 ","$42,906,000 ",,"$16,433,000 ","$59,339,000 ","$108,354,000 ","$87,210,000 ",,"$12,650,000 ","$99,860,000 ","$208,214,000 ","$327,466,000 ",,"$10,111,000 ","$1,597,000 ","$953,000 ",,"$340,127,000 ",,,,"($2,625,000)",,"($2,625,000)","$337,502,000 ","$172,872,000 ",,"$10,133,000 ","$1,858,000 ","$3,439,000 ","$154,899,000 ",,"$343,201,000 ","($5,699,000)","($13,102,000)",,"($18,801,000)","($1,985,000)",,"($20,786,000)",-0.90%,-0.80%,-1.70%,1.3,41,50,1.1,4.80%,48.00%,8,"($8,249,000)",-1.70%,-0.80%,-2.50%
8702,Beth Israel Deaconess Medical Center,AcuteHospital,16665,2022,30-Sep,5,12,"10/01/2021-09/30/2022
","($32,830,000)","$557,818,000 ",,"$172,152,000 ",,,"$686,757,000 ","$1,383,897,000 ","$298,036,000 ",,,,"$3,214,293,000 ","$2,187,948,000 ","$1,026,345,000 ","$287,569,000 ","$1,611,950,000 ","$2,995,847,000 ","$14,840,000 ","$28,631,000 ",,"$335,751,000 ","$379,222,000 ","$956,512,000 ",,"$374,713,000 ","$1,331,225,000 ","$1,710,447,000 ","$923,564,000 ",,"$361,836,000 ","$1,285,400,000 ","$2,995,847,000 ","$1,674,048,000 ",,"$707,915,000 ","$3,459,000 ","$2,800,000 ",,"$2,388,222,000 ",,,,"($83,540,000)",,"($83,540,000)","$2,304,682,000 ","$958,789,000 ",,"$77,129,000 ","$15,181,000 ","$20,173,000 ","$1,279,798,000 ",,"$2,351,070,000 ","($46,388,000)","($40,598,000)","$2,729,000 ","($84,257,000)","$88,442,000 ",,"$4,185,000 ",1.60%,-3.60%,-2.00%,3.6,38,56,1.5,2.30%,42.90%,28,"($52,647,000)",1.30%,-3.60%,-2.30%
