Hospital,Measure,FY 2015,FY 2016,FY 2017,FY 2018,FY 2019
Acadia Hospital Corporation,Total Current Assets,28102770,24839650,18654885,21961231,26997777
Acadia Hospital Corporation,Cash and Investment,21261811,20937756,8310290,15587645,21097376
Acadia Hospital Corporation,Current Assets Whose Use is Limited,344933,424244,416646,426257,442803
Acadia Hospital Corporation,Net Patient Accounts Receivable,3181978,2931290,3222148,3752113,3881123
Acadia Hospital Corporation,Due from Affiliates,337104,299988,269802,166074,52079
Acadia Hospital Corporation,Third Party Settlements Receivable,2641922,,6130432,1710711,1220671
Acadia Hospital Corporation,Other Accounts Receivable,63561,48323,21008,48940,54210
Acadia Hospital Corporation,Inventory,155730,142863,128921,111035,95897
Acadia Hospital Corporation,Other Current Assets,115731,55186,155638,158456,153618
Acadia Hospital Corporation,Total Non-Current Assets,23507249,24389415,9761693,8988469,8695749
Acadia Hospital Corporation,Trustee Held Investments,34776,19248,,,
Acadia Hospital Corporation,Board Designated and Undesignated Investments,11813820,11543285,140773,101126,109372
Acadia Hospital Corporation,Due from Affiliates,,,,,
Acadia Hospital Corporation,Investment in Affiliates,,,,,
Acadia Hospital Corporation,Other Non-Current Assets,1126863,2483488,100062,81704,83702
Acadia Hospital Corporation,"Gross Property, Plant and Equipment",,34361410,35325641,32539789,32735433
Acadia Hospital Corporation,Accumulated Depreciation,23829620,24982247,23018931,23929794,24817405
Acadia Hospital Corporation,"Net Property, Plant and Equipment",,10531790,10343394,9520858,8805639
Acadia Hospital Corporation,Total Unrestricted Assets,51610019,49229065,28416578,30949700,35693526
Acadia Hospital Corporation,Total Current Liabilities,15537960,11753772,9884844,10912779,7669440
Acadia Hospital Corporation,Current Long Term Debt,,1078368,1251014,1313328,1365772
Acadia Hospital Corporation,Accounts Payable and Accrued Expenses,3954742,4699387,4754589,3786845,3667040
Acadia Hospital Corporation,Estimated Third Party Settlements,10181181,5471056,3454466,4571114,4659
Acadia Hospital Corporation,Due to Affiliates,323669,332315,362461,1189048,2690398
Acadia Hospital Corporation,Other Current Liabilities,,,,,
Acadia Hospital Corporation,Total Non-Current Liabilities,20146608,19222786,12918435,11438259,12161200
Acadia Hospital Corporation,Long Term Debt,5631071,4262041,2891723,1468961,104628
Acadia Hospital Corporation,Estimated Third Party Settlements,5179119,5093763,,,
Acadia Hospital Corporation,Due to Affiliates,,,,,
Acadia Hospital Corporation,Self Insurance Fund,,,,,
Acadia Hospital Corporation,Accrued Pension and Post Retiree Health Benefits,9336418,9866982,10026712,9969298,12056572
Acadia Hospital Corporation,Other Non-Current Liabilities,,,,,
Acadia Hospital Corporation,Fund Balance Unrestricted,15925451,18252507,5613299,8598662,15862886
Acadia Hospital Corporation,Total Liabilities & Equity,51610019,49229065,28416578,30949700,35693526
Acadia Hospital Corporation,Total Restricted Assets,301295,435203,456506,432465,554167
Acadia Hospital Corporation,Cash and Investments,301295,435203,456506,432465,554167
Acadia Hospital Corporation,Receivables,,,,,
Acadia Hospital Corporation,Other Assets,,,,,
Acadia Hospital Corporation,Total Restricted Liabilities and Equity,301295,435203,456506,432465,554167
Acadia Hospital Corporation,Total Restricted Fund Balance,301295,435203,456506,432465,554167
Acadia Hospital Corporation,Total Liabilities,,,,,
Acadia Hospital Corporation,Temporarily Restricted Net Assets,149093,173201,190404,163963,283065
Acadia Hospital Corporation,Permanently Restricted Net Assets,152202,262002,266102,268502,271102
Acadia Hospital Corporation,Total Gross Patient Service Revenue,,91170014,101468427,109546583,112803285
Acadia Hospital Corporation,Gross Inpatient Service Revenue,57446196,61509222,72636659,74530064,78345868
Acadia Hospital Corporation,Gross Outpatient Service Revenue,33723818,39959205,36909924,38273221,37176415
Acadia Hospital Corporation,Free Care,,,12933611,17909612,19939408
Acadia Hospital Corporation,Bad Debt,,,,,2988273
Acadia Hospital Corporation,Contractuals,27325679,28365501,32814184,36402667,35355915
Acadia Hospital Corporation,Changes in Prior Year Estimated/Final Settlements,-779881,-1326861,-9646965,-1464182,-4542032
Acadia Hospital Corporation,Net Patient Service Revenue,48702332,53093567,65056806,55628169,61999409
Acadia Hospital Corporation,Other Operating Revenue,2777441,3046431,3356083,2065570,1839051
Acadia Hospital Corporation,Total Operating Revenue,51479773,56139998,68412889,57693739,63838460
Acadia Hospital Corporation,Total Operating Expenses,49069606,52585560,54853017,54291304,53902382
Acadia Hospital Corporation,Depreciation and Amortization,1033660,1176544,947245,912814,882939
Acadia Hospital Corporation,Interest,312605,279557,233913,176387,119393
Acadia Hospital Corporation,Advertising Expenses,9169,22563,6474,74635,51288
Acadia Hospital Corporation,Allowed Advertising Expenses,,,,,
Acadia Hospital Corporation,Non-Allowed Advertising Expenses,9169,22563,6474,74635,51288
Acadia Hospital Corporation,Salaries and Benefits,34061447,37062975,40374013,40677185,40350207
Acadia Hospital Corporation,Other Operating Expenses,13652725,14043921,13291372,12450283,12498555
Acadia Hospital Corporation,Net Operating Income,2410167,3554438,13559872,3402435,9936078
Acadia Hospital Corporation,Total Non-Operating Revenue,494773,491309,-105930,10902,-34617
Acadia Hospital Corporation,Total Investment Income,494773,491309,-105930,10902,10883
Acadia Hospital Corporation,Interest and Dividends,497635,481670,50989,10902,10883
Acadia Hospital Corporation,Realized Gains/Losses on Sales of Securities,-2862,9639,-156919,,
Acadia Hospital Corporation,Permanently Impaired Security Writedowns,,,,,
Acadia Hospital Corporation,Gains/Losses on Joint Ventures/Equity Investments,,,,,
Acadia Hospital Corporation,Permanently Impaired Writedowns of Other Assets,,,,,
Acadia Hospital Corporation,Other Non-Operating Revenues,,,,,
Acadia Hospital Corporation,Excess of Revenue over Expenses,2904940,4045747,13453942,3413337,9901461
Acadia Hospital Corporation,Extraordinary Gains/Losses,,,,,
Acadia Hospital Corporation,Total Surplus/Deficit,2904940,4045747,13453942,3413337,9901461
Acadia Hospital Corporation,Total Change in Unrestricted Net Assets,504425,2327056,-12639208,2985362,7264223
Acadia Hospital Corporation,Net Assets Released for Restrictions,,,56475,,21669
Acadia Hospital Corporation,Unrealized Gains/Losses on Investments,-145261,10595,105057,,
Acadia Hospital Corporation,Minimum Pension Liability Adjustment,-1285067,-742939,522275,66812,-2404598
Acadia Hospital Corporation,Transfers From/To Affiliates,-1025442,-990543,-26746746,-529035,-246999
Acadia Hospital Corporation,Mergers,,,,,
Acadia Hospital Corporation,Consolidations with Support,,,,,
Acadia Hospital Corporation,Other Changes,-1220,4196,4595,3236,2088
"Aroostook Medical Center, The (TAMC)",Total Current Assets,30515603,21546264,15358769,21071930,25897530
"Aroostook Medical Center, The (TAMC)",Cash and Investment,2624292,-1871709,-13600972,-4059631,-2679201
"Aroostook Medical Center, The (TAMC)",Current Assets Whose Use is Limited,407440,3171287,73576,88772,116987
"Aroostook Medical Center, The (TAMC)",Net Patient Accounts Receivable,17667254,13590298,13775722,12853867,16713593
"Aroostook Medical Center, The (TAMC)",Due from Affiliates,83501,101106,42607,81916,1212
"Aroostook Medical Center, The (TAMC)",Third Party Settlements Receivable,4581037,2423020,10453929,6649039,7300913
"Aroostook Medical Center, The (TAMC)",Other Accounts Receivable,1883745,709960,1009719,2183086,1413172
"Aroostook Medical Center, The (TAMC)",Inventory,2158307,2084926,2198408,2254826,2025307
"Aroostook Medical Center, The (TAMC)",Other Current Assets,1110027,1337376,1405780,1020055,1005547
"Aroostook Medical Center, The (TAMC)",Total Non-Current Assets,49276144,48106869,41639490,40226237,38095579
"Aroostook Medical Center, The (TAMC)",Trustee Held Investments,5447925,5366168,,,
"Aroostook Medical Center, The (TAMC)",Board Designated and Undesignated Investments,167399,7500,5796355,6273011,5995958
"Aroostook Medical Center, The (TAMC)",Due from Affiliates,,,,,
"Aroostook Medical Center, The (TAMC)",Investment in Affiliates,,,,,
