Organization,Measure,FY 2005,FY 2006,FY 2007,FY 2008,FY 2009
Acadia Hospital Corporation,Total Current Assets,14097509,5923314,7523566,8072613,10683305
Acadia Hospital Corporation,Cash and Investment,4050720,1368641,3300070,3587774,2854449
Acadia Hospital Corporation,Current Assets Whose Use is Limited,,448412,449700,440296,429489
Acadia Hospital Corporation,Net Patient Accounts Receivable,2399698,1656185,1993909,3004554,2759640
Acadia Hospital Corporation,Due from Affiliates,134240,165270,251047,106705,258341
Acadia Hospital Corporation,Third Party Settlements Receivable,7099491,1804479,939852,336800,3703184
Acadia Hospital Corporation,Other Accounts Receivable,141849,123955,140955,189132,280614
Acadia Hospital Corporation,Inventory,150026,169834,181791,182319,212682
Acadia Hospital Corporation,Other Current Assets,121485,186538,266242,225033,184906
Acadia Hospital Corporation,Total Non-Current Assets,18853263,29936730,32292657,34810640,31811582
Acadia Hospital Corporation,Trustee Held Investments,,13900,21950,26626,24633
Acadia Hospital Corporation,Board Designated and Undesignated Investments,7589579,6840451,6139145,8980993,18625278
Acadia Hospital Corporation,Due From Affiliates,,,,,
Acadia Hospital Corporation,Investments in Affiliates,,,,,
Acadia Hospital Corporation,Other Non-current Assets,369151,12459618,16544951,16918065,2940253
Acadia Hospital Corporation,"Gross Property, Plant and Equipment",,24894729,25604881,25671458,25973281
Acadia Hospital Corporation,Accumulated Depreciation,14000196,14982120,16084847,17088325,17981558
Acadia Hospital Corporation,"Net Property, Plant and Equipment",,10894533,10622761,9586611,8884956
Acadia Hospital Corporation,Total Unrestricted Assets,32950772,35860044,39816223,42883253,42494887
Acadia Hospital Corporation,Total Current Liabilities,14444435,16788155,15154854,17544704,18494421
Acadia Hospital Corporation,Current Long Term Debt,,772215,814359,854962,884360
Acadia Hospital Corporation,Accounts Payable and Accrued Expenses,3135920,3507702,3523778,3753788,4166726
Acadia Hospital Corporation,Estimated Third Party Settlements,9942274,11679022,10500919,12755110,13127313
Acadia Hospital Corporation,Due to Affiliate,594026,787072,275195,151446,248745
Acadia Hospital Corporation,Other Current Liabilities,,,,,
Acadia Hospital Corporation,Total Non-current Liabilities,17590198,17428663,17351653,19161531,20084995
Acadia Hospital Corporation,Long Term Debt,14462484,13735387,12983430,12145097,11359111
Acadia Hospital Corporation,Estimated Third Party Settlements,,,,,
